# gcam_systems.csv - which GCAM system a market belongs to.
keyword,system,source
elect_td_trn,Energy,official: energy/A26.sector.csv
N fertilizer,Energy,official: energy/A322.sector.csv
construction,Energy,official: energy/A324.sector.csv
comm cooling,Energy,official: energy/A44.sector.csv
comm heating,Energy,official: energy/A44.sector.csv
comm cooking,Energy,official: gcam-usa/A44.sector.csv
FodderGrass,Land-use,official: aglu/A_agSupplySector.csv
water_td_an,Water,official: water/A03.sector.csv
electricity,Energy,official: energy/A23.sector.csv
H2 pipeline,Energy,official: energy/A25.sector.csv
comm others,Energy,official: energy/A44.sector.csv
trn_freight,Energy,official: energy/A54.sector.csv
CO2 removal,Energy,official: energy/A62.sector.csv
natural gas,Energy,official: energy/A10.rsrc_info_fossils.csv
resid other,Energy,official: gcam-usa/A44.sector.csv
comm office,Energy,official: gcam-usa/A44.sector.csv
Vegetables,Land-use,official: aglu/A_agSupplySector.csv
FodderHerb,Land-use,official: aglu/A_agSupplySector.csv
OtherGrain,Land-use,official: aglu/A_agSupplySector.csv
csp_backup,Energy,official: energy/A26.sector.csv
geothermal,Energy,official: energy/A10.rsrc_info_renewables_others.csv
comm other,Energy,official: gcam-usa/A44.sector.csv
NutsSeeds,Land-use,official: aglu/A_agSupplySector.csv
FiberCrop,Land-use,official: aglu/A_agSupplySector.csv
SugarCrop,Land-use,official: aglu/A_agSupplySector.csv
RootTuber,Land-use,official: aglu/A_agSupplySector.csv
FeedCrops,Land-use,official: aglu/A_an_input_supplysector.csv
SheepGoat,Land-use,official: aglu/A_an_supplysector.csv
crude oil,Energy,official: energy/A10.rsrc_info_fossils.csv
limestone,Energy,official: energy/A10.rsrc_info_renewables_others.csv
MiscCrop,Land-use,official: aglu/A_agSupplySector.csv
refining,Energy,official: energy/A22.sector.csv
chemical,Energy,official: energy/A325.sector.csv
aluminum,Energy,official: energy/A326.sector.csv
building,Energy,official: energy/A42.sector.csv
trn_pass,Energy,official: energy/A54.sector.csv
Pasture,Land-use,official: aglu/A_agSupplySector.csv
Legumes,Land-use,official: aglu/A_agSupplySector.csv
biomass,Land-use,official: aglu/A_agSupplySector.csv
OilCrop,Land-use,official: aglu/A_agSupplySector.csv
Soybean,Land-use,official: aglu/A_agSupplySector.csv
OilPalm,Land-use,official: aglu/A_agSupplySector.csv
Poultry,Land-use,official: aglu/A_an_supplysector.csv
H2 MHDV,Energy,official: energy/A25.sector.csv
ammonia,Energy,official: energy/A322.sector.csv
alumina,Energy,official: energy/A326.sector.csv
uranium,Energy,official: energy/A10.rsrc_info_uranium.csv
Fruits,Land-use,official: aglu/A_agSupplySector.csv
Forest,Land-use,official: aglu/A_agSupplySector.csv
H2 LDV,Energy,official: energy/A25.sector.csv
cement,Energy,official: energy/A321.sector.csv
airCO2,Energy,official: energy/A62.sector.csv
Wheat,Land-use,official: aglu/A_agSupplySector.csv
Dairy,Land-use,official: aglu/A_an_supplysector.csv
paper,Energy,official: energy/A327.sector.csv
scrap,Energy,official: energy/A10.rsrc_info_renewables_others.csv
Rice,Land-use,official: aglu/A_agSupplySector.csv
Corn,Land-use,official: aglu/A_agSupplySector.csv
Beef,Land-use,official: aglu/A_an_supplysector.csv
Pork,Land-use,official: aglu/A_an_supplysector.csv
coal,Energy,official: energy/A10.rsrc_info_fossils.csv
LH2,Energy,official: energy/A25.sector.csv
water withdrawals,Water,
water consumption,Water,
bio_externality,Energy,
internal-gains,Energy,
groundwater,Water,
bio-ceiling,Energy,
wastewater,Water,
nuts_seeds,Land-use,
root_tuber,Land-use,
ag service,Land-use,
scavenging,Land-use,
desalinat,Water,
misc crop,Land-use,
roundwood,Land-use,
woodpulp,Land-use,
sawnwood,Land-use,
residue,Land-use,
runoff,Water,
backup,Energy,
LNG,Energy,
NMVOC,Emissions,
F-gas,Emissions,
emiss,Emissions,
C2F6,Emissions,
fgas,Emissions,
CO2,Emissions,
CH4,Emissions,
N2O,Emissions,
SO2,Emissions,
NOx,Emissions,
NH3,Emissions,
BC_,Emissions,
OC_,Emissions,
HFC,Emissions,
PFC,Emissions,
SF6,Emissions,
CF4,Emissions,
GHG,Emissions,
LUC,Emissions,
socioeconomic,Economic,
interest rate,Economic,
unemployment,Economic,
consumption,Economic,
Capital,Economic,
savings,Economic,
Labor,Economic,
GDP,Economic,
concentration,Climate,
temperature,Climate,
forcing,Climate,
climate,Climate,
hector,Climate,
water,Water,
crop,Land-use,
land,Land-use,
meat,Land-use,
food,Land-use,
fodder,Land-use,
electric,Energy,
elect,Energy,
elec,Energy,
